id,date_scrapped,date_post,job_search,title,_description,_level,price,cathegory
1,2023-10-19,2023-10-19,Data scientist,Social Science Research,"I need to conduct analysis of data I collected for social science research paper (for the university, not to be published in a journal). I have panel data for 27 countries for 5 years. I need to see which variables are the most important, and which have less influence, probably PCA. You are free to choose how to do it in the best way. I would really like it if you would be able to do it using Python. There are missing values to be imputed, your feedback is welcome if you think some variables/years/countries should be changed/excluded or if you want to propose another method. I would also need an explanation of which methods you used, why, tables and what insights you found. It should be done ideally before 23rd of October.",1,60,"Data Analysis,Research Papers,Academic Writing,Research Methods,Academic Research"
2,2023-10-19,2023-10-19,Data scientist,Share Your Scientific Body Composition & Shape Story,"We are a non-profit scientific research institute looking for real people who are interested in being a guest on our 1/2-hour podcast: https://open.spotify.com/show/42tkoOeHNXEAp5MLgZFeXf to talk about the science of why there are so many different body shapes and compositions in the world and your unique genetic scientific body type in relation to muscle/mass, skinny fat (cellulite, thin fat, loose skin, saggy skin, crepey skin, normal weight obesity), regular fat (white fat/yellow fat/excess fat), weight loss/gain, diet, exercise, metabolism, lifestyle, etc. You will be able to candidly ask our lead scientific researcher questions you have about your body composition and shape relative to diet, exercise, lifestyle, etc. Body Type Theory (Genetic Scientific Body Types): https://www.fellowone.com/fellow-one-research/the-four-body-types/faq-body-type-/?ref=1&Upwork_jp=2888/ Research : https://www.fellowone.com/category/fellow-one-research/the-four-body-types/body-type-/body-type-quiz/research-/?ref=1&Upwork_jp=2888/",0,6,"Health Science,Science,Communications,Human Body,Social Media Marketing,Research Interviews,+3"
3,2023-10-19,2023-10-19,Data scientist,"Build No-Code Prototype (Text Scraper, Parser, Categorizer)","Hi there, I'm looking for an experienced person with a no-code tool like Make, Softr, Bubble, etc to help me architect and build a working prototype. I need someone approachable that is willing to hop on Google Meet a few times to discuss this and plan before starting to build. Once the plan is signed off on, you will complete the prototype build-out. The prototype needs to be able to achieve the following: 1. Parse written (web pages and PDF files) to identify and extract key ""good"" information. The initial input will be either a file upload or a direct link to the webpage or PDF file on the web. 2. Assemble and model the extracted 3. Display extracted in a useful, human-readable dashboard 4. Read/write all to an Airtable database 5. Add additional Hope this helps. Best of luck!",2,400,"Data Extraction,Data Science,Data Scraping,Machine Learning,Prototyping,Natural Language Processing,Python"
4,2023-10-19,2023-10-19,Data scientist,Influencer Partner for Scientific Research,"As a nonprofit scientific research institute, we rely on funding to perform and expand our cutting-edge scientific research. We need a real partner, someone who already has a real audience and can offer real exposure to real people to help us truly fund our non-profit scientific research through a successful Kickstarter campaign. GOAL: Education about the Body Type Theory, particularly the outdated proof-of-concept Prototype Genetic Scientific Body Type Quiz & Scientific Weight Loss Diary, and our Kickstarter Funding Campaign (including full Rewards) to do a full rebuild. https://www.fellowone.com/fellow-one-research/the-four-4-body-types/body-type-/genetic-scientific-body-type-quiz-scientific-weight-loss-diary-rebuild/?ref=1&Upwork_jp=70/ Greatly increase engagement including followers, likes, shares, favorites, comments, etc. (as this is how we get funded, which is the reason we need help) Scientific Theory FAQ: https://www.fellowone.com/fellow-one-research/the-four-body-types/faq-body-type-/?ref=1&Upwork_jp=70/ Prototype/Proof-of-Concept Scientific : (the only real genetic scientific body type research in existence): https://www.fellowone.com/category/body-type-quiz/research-/?ref=1&Upwork_jp=70/ Keep in mind that this is and accuracy is paramount. On top of this contract, we are offering 1) % of Kickstarter Campaign ($306K to $1.5M+ - up to 20%/$300K cash) 2) Affiliate % for the new Scientific Body Type Quiz and Scientific Weight Loss Diary - up to 40%",0,2000,"Health Science,Science,Social Media Marketing,Human Body,Health & Wellness,Health,Health & Fitness,+1"
5,2023-10-19,2023-10-19,Data scientist,"AI/ML, Vertex AI, NLP and Python for chatbot and analysis with LLMs","Looking to hire someone for a project which requires building backend api endpoint with either Google Vertex AI using PaLM 2 or Amazon Bedrock using Anthropic Claude 2 models. This project requires working with Chains, Templates and Vectors in Langchain. This starts with basic transformer text classification, likely using Google Colab and moves into advance labeling and training process that includes LLM API calls, and evaluation techniques with confusion matrix diagnostics.",2,25,"Data Science,Vertex AI,Python,AI Chatbot,API,LangChain,Structural Analysis & Design Software,+2"
6,2023-10-19,2023-10-19,Data scientist,Recently Lose Weight? Share Your Story,"Did you do the hard work and lose the weight, only to experience some type of skinny fat (cellulite, thin fat, loose skin, saggy skin, crepey skin, normal weight obesity) that you cannot get rid of? Types of skinny fat: (link removed) Please note, this is science and scientific data, evidence, and facts, no less, matter. ------------ Genetic Scientific Body Type FAQ: https://www.fellowone.com/fellow-one-research/the-four-body-types/faq-body-type--theory/?ref=1&Upwork_jp=6AB The Current Weight Loss : https://www.fellowone.com/category/fellow-one-research/the-four-body-types/body-type-/body-type-quiz/scientific-weight-loss/ask-gnosis-comments/?ref=1&Upwork_jp=6AB",0,25,"Health Science,Digital Marketing,Human Body,Health & Fitness,Health,Video Camera,Video Editing"
7,2023-10-19,2023-10-19,Data scientist,Scientific Researcher - College Student,"Do you have a large group of diverse friends/family who have many different body shapes/types? We need candid, appropriate interviews of different genetic scientific body types that discuss the current science and why genetically their body is the composition and shape that it is. The Scientific Theory: https://www.fellowone.com/fellow-one-research/the-four-body-types/faq-body-type--theory/?ref=1&Upwork_jp=2200/ Research : https://www.fellowone.com/category/fellow-one-research/the-four-body-types/body-type-/body-type-quiz/research-/?ref=1&Upwork_jp=2200/",0,250,"Health Science,Science,Science & Medicine,Social Media Marketing,Human Body,Health & Fitness,+4"
8,2023-10-19,2023-10-19,Data scientist,Influencer for Genetic Body Composition Science,"We are looking to partner with an Influencer. As a nonprofit scientific research institute, we rely on funding to perform and expand our cutting-edge scientific research. We need a real partner, someone who already has a real audience and can offer real exposure to real people to help us truly fund our non-profit scientific research through a successful Kickstarter campaign: https://www.fellowone.com/fellow-one-research/the-four-4-body-types/body-type-/genetic-scientific-body-type-quiz-scientific-weight-loss-diary-rebuild/?ref=1&Upwork_jp=1800/ On top of this contract, we are offering 1) % of Kickstarter Campaign ($306K to $1.5M+ - up to 20%/$300K cash) 2) Affiliate % for the new Scientific Body Type Quiz and Scientific Weight Loss Diary - up to 40% Body Type Theory FAQ: https://www.fellowone.com/fellow-one-research/the-four-body-types/faq-body-type-/?ref=1&Upwork_jp=1800/ Body Type Research (the only real genetic scientific body type research in existence): https://www.fellowone.com/category/body-type-quiz/research-/?ref=1&Upwork_jp=1800/ Keep in mind that this is and accuracy is paramount.",0,2000,"Science,Health Science,Digital Marketing,Human Body,Health & Fitness,Video Camera,Health & Wellness,+3"
9,2023-10-19,2023-10-19,Data scientist,Share Your Scientific Body Composition Story,"We need real people who are interested in talking about the science of why your body genetically is the composition (muscle, regular fat, skinny fat, etc.) and shape it is and why there are so many different body shapes in the world -- the science behind genetic scientific body types. Example Video: https://www.instagram.com/p/CuDeSyCAUvK/ FAQ Body Type Theory (Genetic Scientific Body Types): https://www.fellowone.com/fellow-one-research/the-four-body-types/faq-body-type-/?ref=1&Upwork_jp=889/ Research : https://www.fellowone.com/category/fellow-one-research/the-four-body-types/body-type-/body-type-quiz/research-/?ref=1&Upwork_jp=889/",0,200,"Science,Human Body,Video Editing,Education,Video Production,Social Media Marketing,Instagram,+2"
10,2023-10-19,2023-10-19,Data scientist,"Diet, Exercise, Lifestyle Health Influencer Collaboration for Science","Our growing Instagram Account (50K+) needs more real engagement: https://www.instagram.com/thefourbodytypes/ We have consistent content from our Podcast and guests. We need a real influencer partner, someone who already has a real audience and can offer real exposure to real people to help us truly fund our non-profit scientific research through a successful Kickstarter campaign (already set up and ready to go). On top of this contract, we are offering a % of the Kickstarter Funding and Affiliate % on the new Scientific Body Type Quiz and Scientific Weight Loss Diary. Details: https://www.fellowone.com/fellow-one-research/the-four-4-body-types/body-type-/genetic-scientific-body-type-quiz-scientific-weight-loss-diary-rebuild/?ref=1&Upwork_jp=1886 Keep in mind this is , so accuracy in terms of the current scientific , evidence, and facts is paramount. Body Type Theory FAQ: https://www.fellowone.com/fellow-one-research/the-four-body-types/faq-body-type-/?ref=1&Upwork_jp=1886",0,500,"Human Body,Health & Fitness,Health & Wellness,Research Interviews,Instagram,Social Media Marketing,+3"
11,2023-10-19,2023-10-19,Data scientist,Python Developer - DB Parsing & ML Project,"We're in search of a Python Developer for an exciting parsing and machine learning project. You will be responsible for creating Python solutions for data parsing, implementing ML models, and optimizing code. Experience with data parsing, Python, ML frameworks (e.g., TensorFlow, PyTorch), and parsing frameworks like Selenium is required.",1,500,"Data Science,Data Scraping,Python,Machine Learning,Python Script,PostgreSQL,AI Consulting"
12,2023-10-19,2023-10-19,Data scientist,Machine Learning model and training,"Develop a predictive model using ML for an NLP LLMS product . The model should be trained to predict queries, search the database, data visualisation",2,600,"Data Science,Natural Language Processing,Machine Learning Model,Model Tuning,Chatbot,+5"
13,2023-10-19,2023-10-19,Data scientist,Data analysis / Machine Learning Engineer,"Need a working prototype of this theme "" Increasing the security of user accounts of information systems based on artificial intelligence and machine learning using the Gated Recurrent Unit (GRU) technique for machine learning"".",1,300,"Data Science,Data Analysis,Data Modeling,Machine Learning,Deep Learning,Analytics,deeplearn.js,+1"
14,2023-10-19,2023-10-19,Data scientist,Google Colab Decision Tree,"We are looking for a freelancer who can use Google Colab to create a decision tree algorithm. The algorithm should be able to take input data and generate a tree-based model for decision-making. The freelancer should have expertise in machine learning and data analysis. The main tasks for this project will include preprocessing, feature engineering, building the decision tree model, and evaluating its performance. Required skills include: - Proficiency in Python programming - Experience with machine learning libraries, such as scikit-learn - Knowledge of decision tree algorithms - Strong ability in preprocessing The project size is small, and the estimated duration is under 1 month. We are looking for an intermediate level freelancer with prior experience in building decision tree models.",1,30,"Data Science,Data Analysis,Data Mining,Python,Google Analytics"
